t_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,ax_mps2,ay_mps2,az_mps2
6.5999999999999925,1096679.468018017,1062260.0762180667,6315116.336232179,-3388.391142810008,-3620.6233975349587,1164.0073567209806,-2.0941243856214062,-1.025025401031602,-9.018417727202209
6.699999999999992,1096340.6184331141,1061898.0087531863,6315232.691875762,-3388.6005324008993,-3620.725874623762,1163.105503045958,-2.093667426379405,-1.0245163517538494,-9.018655703403088
6.799999999999992,1096001.7479115368,1061535.931043142,6315348.957332788,-3388.809876295284,-3620.8283008053095,1162.2036255803,-2.0932104496751056,-1.0240072675515002,-9.01889370288703
6.8999999999999915,1095662.856457855,1061173.8430930253,6315465.132600878,-3389.0191744908343,-3620.9306760772724,1161.3017243053805,-2.0927534904331044,-1.0234982357360458,-9.019131888635489
6.999999999999991,1095323.9440766387,1060811.7449079265,6315581.217677649,-3389.2284269933707,-3621.0330004524567,1160.399799202573,-2.0922965544741676,-1.0229892563074863,-9.019370167516204
7.099999999999991,1094985.0107724564,1060449.6364929348,6315697.212560719,-3389.437633801729,-3621.135273928534,1159.4978502718773,-2.0918395894114004,-1.0224802419543302,-9.019608492963048
7.19999999999999,1094646.0565498783,1060087.5178531408,6315813.1172477035,-3389.646794911253,-3621.2374965008476,1158.5958775039803,-2.091382606886335,-1.021971227601174,-9.019846934825214
7.29999999999999,1094307.0814134742,1059725.3889936346,6315928.93173622,-3389.8559103231064,-3621.339668174054,1157.6938808849122,-2.090925618540503,-1.0214622016064858,-9.020085516385766
7.39999999999999,1093968.0853678137,1059363.249919506,6316044.6560238805,-3390.064980034961,-3621.441788941169,1156.7918604007032,-2.0904686418362037,-1.0209531697910315,-9.02032421436164
7.499999999999989,1093629.0684174672,1059001.1006358464,6316160.2901083,-3390.2740040514736,-3621.5438588080124,1155.88981604204,-2.090011647669606,-1.0204441729001736,-9.020562958903643
7.599999999999989,1093290.0305670034,1058638.9411477444,6316275.833987089,-3390.482982364495,-3621.645877775749,1154.9877478089224,-2.089554624399178,-1.0199351701885497,-9.020801796577903
7.699999999999989,1092950.9718209943,1058276.7714602912,6316391.287657862,-3390.6919149763535,-3621.74784584205,1154.0856556827243,-2.0890976535156445,-1.019426184939224,-9.02104077395055
7.799999999999988,1092611.8921840081,1057914.591578576,6316506.651118225,-3390.900801895198,-3621.8497630127367,1153.1835396541323,-2.0886406535282807,-1.0189171938691324,-9.021279821172389
7.899999999999988,1092272.7916606152,1057552.4015076887,6316621.924365792,-3391.109643107059,-3621.951629280824,1152.2813997184899,-2.0881836186163203,-1.0184081853367424,-9.02151898480955
7.999999999999988,1091933.6702553867,1057190.2012527199,6316737.107398169,-3391.3184386189214,-3622.053444649804,1151.3792358571704,-2.0877266244497226,-1.017899211728949,-9.021758264862033
8.099999999999987,1091594.5279728915,1056827.9908187587,6316852.200212964,-3391.527188431949,-3622.1552091231697,1150.4770480655175,-2.0872696128208266,-1.0173902497626877,-9.021997661329838
8.199999999999987,1091255.3648177003,1056465.7702108952,6316967.202807782,-3391.7358925414856,-3622.2569226997566,1149.5748363249045,-2.0868125837296323,-1.0168812761548942,-9.0222371509299
8.299999999999986,1090916.1807943832,1056103.5394342188,6317082.115180229,-3391.944550948695,-3622.3585853784007,1148.6726006353315,-2.0863555371784135,-1.0163722850848025,-9.022476687096091
8.399999999999986,1090576.9759075106,1055741.2984938195,6317196.937327909,-3392.1531636489212,-3622.4601971567736,1147.7703409874853,-2.085898490624921,-1.015863311477009,-9.022716339677604
8.499999999999986,1090237.7501616534,1055379.0473947874,6317311.669248426,-3392.36173064682,-3622.561758040696,1146.868057367396,-2.0854414498899208,-1.0153543495107478,-9.022956178523632
8.599999999999985,1089898.5035613813,1055016.7861422114,6317426.310939383,-3392.570251938899,-3622.6632680266757,1145.9657497517805,-2.084984380053364,-1.0148453642614221,-9.023196110501917
8.699999999999985,1089559.2361112656,1054654.514741182,6317540.862398377,-3392.7787275228306,-3622.7647271135484,1145.0634181452956,-2.084527321858339,-1.0143364022951609,-9.023436019197138
8.799999999999985,1089219.9478158767,1054292.2331967887,6317655.323623012,-3392.987157403271,-3622.8661353071348,1144.1610625479411,-2.084070298587911,-1.0138274810742622,-9.023676067590745
8.899999999999984,1088880.638679785,1053929.9415141207,6317769.694610886,-3393.1955415825482,-3622.967492609763,1143.2586829317775,-2.0836132694967167,-1.0133185598533636,-9.023916278965803
8.999999999999984,1088541.3087075602,1053567.6396982668,6317883.975359598,-3393.40388005717,-3623.0687990191054,1142.356279292148,-2.0831561763770954,-1.0128096037078684,-9.024156583473118
9.099999999999984,1088201.9579037735,1053205.3277543169,6317998.165866745,-3393.6121728178236,-3623.170054530505,1141.4538516150828,-2.0826990599744097,-1.012300630100075,-9.024396981112691
9.199999999999983,1087862.5862729966,1052843.0056873607,6318112.266129921,-3393.820419869165,-3623.2712591451254,1140.5513998959254,-2.0822419784963206,-1.011791679775346,-9.024637448601457
9.299999999999983,1087523.1938197997,1052480.6735024878,6318226.276146724,-3394.028621213523,-3623.37241286646,1139.6489241253626,-2.0817849086597637,-1.0112827701959795,-9.024878055788609
9.399999999999983,1087183.780548754,1052118.3312047874,6318340.195914746,-3394.236776850897,-3623.4735156991646,1138.7464242847677,-2.0813278330024407,-1.010773860616613,-9.025118756108018
9.499999999999982,1086844.3464644295,1051755.978799348,6318454.025431581,-3394.4448867801234,-3623.574567638583,1137.843900374141,-2.080870716599755,-1.0102648986503517,-9.025359549559685
9.599999999999982,1086504.891571398,1051393.6162912596,6318567.764694821,-3394.652950994217,-3623.6755686788947,1136.9413523748558,-2.0804135885555373,-1.0097559599671548,-9.025600436143609
9.699999999999982,1086165.4158742307,1051031.2436856122,6318681.413702056,-3394.8609694978345,-3623.7765188305766,1136.0387802869122,-2.079956483794384,-1.0092470620293206,-9.025841392576726
9.799999999999981,1085825.9193774983,1050668.8609874935,6318794.9724508785,-3395.068942290976,-3623.8774180913006,1135.1361840963405,-2.079499367391698,-1.0087381291668898,-9.026082558557423
9.89999999999998,1085486.4020857725,1050306.468201994,6318908.440938875,-3395.276869371313,-3623.97826645641,1134.2335637752008,-2.0790422568097786,-1.0082292137667572,-9.026323771104249
9.99999999999998,1085146.864003624,1049944.0653342023,6319021.8191636335,-3395.484750742338,-3624.079063934054,1133.3309193421196,-2.078585140407093,-1.0077203274704551,-9.026565006934138
10.09999999999998,1084807.305135624,1049581.6523892072,6319135.1071227435,-3395.6925863993943,-3624.179810521904,1132.428250773814,-2.078128000721343,-1.0072114237118548,-9.026806475594672
10.19999999999998,1084467.7254863442,1049219.2293720979,6319248.304813788,-3395.900376342482,-3624.2805062187963,1131.5255580470007,-2.077670866856359,-1.0067025199532544,-9.02704796753827
10.29999999999998,1084128.1250603555,1048856.7962879634,6319361.412234353,-3396.1081205727655,-3624.3811510258947,1130.6228411803063,-2.0772137038875447,-1.006193610373888,-9.02728952933106
10.399999999999979,1083788.5038622296,1048494.3531418927,6319474.429382024,-3396.3158190832596,-3624.481744940871,1129.7201001411345,-2.0767565467394964,-1.0056847037049046,-9.027531323954495
10.499999999999979,1083448.8618965389,1048131.8999389752,6319587.356254381,-3396.5234718821134,-3624.5822879666357,1128.8173349155154,-2.0762994186952786,-1.0051758319605177,-9.02777311857793
10.599999999999978,1083109.1991678532,1047769.4366842994,6319700.192849007,-3396.7310789669987,-3624.682780107263,1127.914545517419,-2.0758422324434,-1.0046669340226835,-9.028014959767493
10.699999999999978,1082769.5156807455,1047406.9633829538,6319812.939163485,-3396.938640328602,-3624.7832213534402,1127.011731923562,-2.075385034549989,-1.0041580128017848,-9.028256987221571
10.799999999999978,1082429.8114397875,1047044.4800400287,6319925.595195392,-3397.1461559739087,-3624.8836117098235,1126.1088941199746,-2.0749278715811745,-1.003649135236632,-9.028499154374035
10.899999999999977,1082090.0864495507,1046681.9866606118,6320038.160942309,-3397.3536259029183,-3624.9839511804876,1125.206032092687,-2.074470702791594,-1.0031402693130111,-9.028741414658757
10.999999999999977,1081750.340714607,1046319.4832497926,6320150.636401811,-3397.561050114467,-3625.084239763686,1124.3031458370428,-2.0740135165397153,-1.0026314062997734,-9.028983721509608
11.099999999999977,1081410.5742395278,1045956.9698126591,6320263.021571476,-3397.7684286062263,-3625.1844774617475,1123.4002353483852,-2.0735563244670705,-1.0021225345553866,-9.029226098209651
11.199999999999976,1081070.7870288857,1045594.4463543002,6320375.31644888,-3397.9757613793604,-3625.284664270597,1122.497300617401,-2.0730991207528935,-1.0016136395279354,-9.029468637891146
11.299999999999976,1080730.979087252,1045231.912879805,6320487.5210315995,-3398.183048430377,-3625.384800189653,1121.594341620807,-2.072641887934886,-1.0011047561420163,-9.029711293987962
11.399999999999975,1080391.1504191996,1044869.3693942623,6320599.6353172045,-3398.3902897569474,-3625.4848852218256,1120.6913583586033,-2.0721846667584107,-1.0005958960391617,-9.029953973368979
11.499999999999975,1080051.3010293005,1044506.8159027606,6320711.659303271,-3398.5974853637285,-3625.584919368861,1119.7883508261332,-2.071727468865,-1.0000870446674561,-9.030196839013374
11.599999999999975,1079711.4309221269,1044144.2524103886,6320823.59298737,-3398.8046352507204,-3625.684902630759,1118.8853189908007,-2.0712702535092906,-0.9995781903853675,-9.03043979778889
11.699999999999974,1079371.5401022504,1043781.6789222345,6320935.436367069,-3399.0117394144304,-3625.784835006938,1117.9822628665754,-2.070813009049751,-0.9990693331928959,-9.030682779848608
11.799999999999974,1079031.628574244,1043419.0954433872,6321047.189439943,-3399.2187978525303,-3625.8847164973977,1117.079182434831,-2.070355758769445,-0.9985604730900413,-9.03092594817284
11.899999999999974,1078691.69634268,1043056.501978935,6321158.852203556,-3399.4258105661843,-3625.984547101556,1116.1760776769408,-2.0698985201306717,-0.9980516246287188,-9.031169186346265
11.999999999999973,1078351.7434121307,1042693.8985339669,6321270.424655478,-3399.6327775565564,-3626.0843268223234,1115.2729485975617,-2.069441281491898,-0.9975427848985454,-9.031412517651948
12.099999999999973,1078011.7697871686,1042331.2851135705,6321381.906793276,-3399.8396988224827,-3626.1840556585357,1114.3697951734105,-2.068984013749294,-0.9970339218853077,-9.031655988656016
12.199999999999973,1077671.7754723663,1041968.6617228352,6321493.298614513,-3400.0465743593063,-3626.2837336067005,1113.4666173998305,-2.0685267227236257,-0.9965250705136022,-9.031899529509278
12.299999999999972,1077331.7604722967,1041606.0283668492,6321604.600116756,-3400.2534041670274,-3626.3833606726384,1112.5634152675086,-2.0680694549810217,-0.9960162569768762,-9.032143186777862
12.399999999999972,1076991.7247915328,1041243.3850507006,6321715.811297567,-3400.4601882503025,-3626.482936858096,1111.660188762475,-2.0676121930591838,-0.9955074143363198,-9.032386937178703
12.499999999999972,1076651.6684346467,1040880.7317794776,6321826.932154508,-3400.666926605639,-3626.5824621555057,1110.7569378800729,-2.0671548962127493,-0.9949985484126991,-9.032630780711802
12.599999999999971,1076311.5914062117,1040518.0685582695,6321937.962685143,-3400.873619229545,-3626.6819365677784,1109.8536626063326,-2.066697605187081,-0.994489729055207,-9.032874717377158
12.69999999999997,1075971.4937108008,1040155.395392164,6322048.90288703,-3401.0802661266766,-3626.7813601013167,1108.9503629365975,-2.0662403258029447,-0.9939809213392472,-9.033118747174772
12.79999999999997,1075631.3753529864,1039792.7122862493,6322159.75275773,-3401.2868672947056,-3626.8807327520462,1108.0470388568976,-2.065783011494212,-0.9934720816090739,-9.0333629632369
12.89999999999997,1075291.2363373418,1039430.0192456136,6322270.512294801,-3401.4934227289755,-3626.9800545176386,1107.14369034395,-2.065325679723181,-0.9929632476996666,-9.033607249148222
12.99999999999997,1074951.0766684406,1039067.3162753457,6322381.181495799,-3401.6999324306503,-3627.079325401586,1106.240317407068,-2.0648683712352143,-0.9924544370733237,-9.033851558342608
13.09999999999997,1074610.8963508557,1038704.6033805333,6322491.760358282,-3401.9063964032225,-3627.1785454050532,1105.3369200322816,-2.0644110569264815,-0.9919456118950656,-9.034096030518445
13.199999999999969,1074270.69538916,1038341.8805662647,6322602.248879805,-3402.1128146420356,-3627.277714523965,1104.4334982009643,-2.0639537076931522,-0.9914367779856583,-9.034340595826539
13.299999999999969,1073930.4737879273,1037979.1478376285,6322712.647057923,-3402.319187144761,-3627.3768327606504,1103.5300519131163,-2.0634963468182907,-0.9909279586281663,-9.03458525426689
13.399999999999968,1073590.231551731,1037616.4051997126,6322822.954890188,-3402.5255139113992,-3627.475900115691,1102.626581150111,-2.0630389975849615,-0.9904191450914404,-9.034830052405628
13.499999999999968,1073249.968685145,1037253.6526576054,6322933.172374153,-3402.731794944278,-3627.5749165896686,1101.7230859026351,-2.0625816541723982,-0.9899103431962466,-9.035074943676623
13.599999999999968,1072909.6851927422,1036890.8902163947,6323043.299507368,-3402.9380302422337,-3627.67388218433,1100.8195661613756,-2.0621242991183024,-0.989401550032202,-9.035319904796811
13.699999999999967,1072569.3810790966,1036528.1178811685,6323153.336287385,-3403.144219804102,-3627.772796899675,1099.9160219216758,-2.061666938243441,-0.988892736495476,-9.035564982332321
13.799999999999967,1072229.0563487813,1036165.3356570147,6323263.282711753,-3403.3503636298824,-3627.871660731629,1099.0124531649092,-2.061209542443983,-0.9883839025860688,-9.035810176283153
