t_sec,epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
100.0,2025-10-25T21:13:39.179661Z,-4264476.900595545,-1374632.7452693856,5534236.512978581,-4965.985111353196,-5565.323023516898,-511.68542434520793
101.0,2025-10-25T21:13:40.179662Z,-4269674.433282843,-1379586.2928257445,5533763.397311639,-4961.291332415833,-5563.840721528015,-517.8595763838515
102.0,2025-10-25T21:13:41.179663Z,-4274872.71105623,-1384539.0896434984,5533290.281644696,-4956.59736372983,-5562.359133690267,-524.0337284224952
103.0,2025-10-25T21:13:42.179664Z,-4280071.733833851,-1389491.135640325,5532817.165977756,-4951.903205374389,-5560.878260023444,-530.2078804611388
104.0,2025-10-25T21:13:43.179665Z,-4285271.501533846,-1394442.4307339087,5532344.050310814,-4947.208857428696,-5559.398100547329,-536.3820324997824
105.0,2025-10-25T21:13:44.179666Z,-4290472.014074344,-1399392.9748419435,5531870.934643873,-4942.5143199719605,-5557.918655281694,-542.556184538426
106.0,2025-10-25T21:13:45.179667Z,-4295673.271373469,-1404342.76788213,5531397.818976931,-4937.8195930833745,-5556.439924246304,-548.7303365770697
107.0,2025-10-25T21:13:46.179667Z,-4300875.273349333,-1409291.809772178,5530924.7033099895,-4933.124676842143,-5554.961907460921,-554.9044886157134
108.0,2025-10-25T21:13:47.179668Z,-4306078.0199200455,-1414240.1004298048,5530451.587643048,-4928.429571327472,-5553.484604945292,-561.078640654357
109.0,2025-10-25T21:13:48.179670Z,-4311281.511003701,-1419187.6397727341,5529978.471976106,-4923.734276618566,-5552.008016719162,-567.2527926930006
110.0,2025-10-25T21:13:49.179671Z,-4316485.746518391,-1424134.4277187004,5529505.356309165,-4919.038792794631,-5550.5321428022635,-573.4269447316442
111.0,2025-10-25T21:13:50.179671Z,-4321690.726382198,-1429080.4641854437,5529032.2406422235,-4914.3431199348815,-5549.0569832143265,-579.6010967702879
112.0,2025-10-25T21:13:51.179672Z,-4326896.450513194,-1434025.749090713,5528559.124975282,-4909.647258118523,-5547.5825379750695,-585.7752488089315
113.0,2025-10-25T21:13:52.179673Z,-4332102.918829448,-1438970.2823522657,5528086.00930834,-4904.951207424774,-5546.108807104203,-591.9494008475751
114.0,2025-10-25T21:13:53.179674Z,-4337310.131249016,-1443914.0638878662,5527612.893641399,-4900.254967932848,-5544.6357906214325,-598.1235528862189
115.0,2025-10-25T21:13:54.179675Z,-4342518.087689948,-1448857.0936152874,5527139.7779744575,-4895.558539721961,-5543.1634885464555,-604.2977049248625
116.0,2025-10-25T21:13:55.179676Z,-4347726.788070288,-1453799.3714523097,5526666.662307516,-4890.861922871335,-5541.691900898957,-610.4718569635062
117.0,2025-10-25T21:13:56.179677Z,-4352936.232308065,-1458740.8973167222,5526193.546640574,-4886.165117460187,-5540.221027698619,-616.6460090021498
118.0,2025-10-25T21:13:57.179678Z,-4358146.420321309,-1463681.6711263212,5525720.430973632,-4881.468123567744,-5538.750868965116,-622.8201610407934
119.0,2025-10-25T21:13:58.179679Z,-4363149.986225706,-1468552.0368094034,5524984.458396456,-4876.850843195702,-5537.122684662165,-628.5687904077445
120.0,2025-10-25T21:13:59.179680Z,-4368125.849515834,-1473412.1308995131,5524212.441139567,-4872.2443064426125,-5535.473434926847,-634.2590692888847
121.0,2025-10-25T21:14:00.179681Z,-4373102.4447884895,-1478271.5070796702,5523440.423882679,-4867.637555118394,-5533.82488647003,-639.9493481700248
122.0,2025-10-25T21:14:01.179682Z,-4378079.771965427,-1483130.1652689667,5522668.406625791,-4863.030589300827,-5532.177039314234,-645.639627051165
123.0,2025-10-25T21:14:02.179682Z,-4383057.830968395,-1487988.1053865012,5521896.389368902,-4858.423409067695,-5530.529893481976,-651.3299059323051
124.0,2025-10-25T21:14:03.179683Z,-4388036.621719135,-1492845.3273513806,5521124.372112014,-4853.816014496782,-5528.883448995761,-657.0201848134452
125.0,2025-10-25T21:14:04.179684Z,-4393016.144139376,-1497701.8310827184,5520352.354855126,-4849.208405665879,-5527.237705878087,-662.7104636945853
126.0,2025-10-25T21:14:05.179685Z,-4397996.398150842,-1502557.616499637,5519580.337598238,-4844.600582652774,-5525.592664151447,-668.4007425757254
127.0,2025-10-25T21:14:06.179686Z,-4402977.38367525,-1507412.6835212659,5518808.32034135,-4839.9925455352595,-5523.948323838324,-674.0910214568656
128.0,2025-10-25T21:14:07.179687Z,-4407959.1006343085,-1512267.032066741,5518036.303084461,-4835.3842943911295,-5522.304684961193,-679.7813003380057
129.0,2025-10-25T21:14:08.179688Z,-4412941.548949718,-1517120.6620552079,5517264.285827573,-4830.77582929818,-5520.661747542525,-685.471579219146
130.0,2025-10-25T21:14:09.179689Z,-4417924.728543168,-1521973.5734058188,5516492.268570685,-4826.1671503342095,-5519.019511604778,-691.161858100286
131.0,2025-10-25T21:14:10.179690Z,-4422908.639336344,-1526825.7660377326,5515720.251313796,-4821.558257577019,-5517.377977170407,-696.8521369814263
132.0,2025-10-25T21:14:11.179691Z,-4427893.281250925,-1531677.2398701173,5514948.234056909,-4816.949151104412,-5515.737144261856,-702.5424158625664
133.0,2025-10-25T21:14:12.179692Z,-4432878.654208574,-1536527.9948221478,5514176.216800019,-4812.339830994192,-5514.097012901565,-708.2326947437066
134.0,2025-10-25T21:14:13.179693Z,-4437864.758130958,-1541378.0308130065,5513404.1995431315,-4807.730297324167,-5512.457583111963,-713.9229736248467
135.0,2025-10-25T21:14:14.179694Z,-4442851.592939726,-1546227.3477618836,5512632.182286244,-4803.120550172146,-5510.818854915473,-719.6132525059868
136.0,2025-10-25T21:14:15.179695Z,-4447839.158556522,-1551075.945587977,5511860.165029355,-4798.510589615939,-5509.180828334509,-725.303531387127
137.0,2025-10-25T21:14:16.179696Z,-4452827.454902988,-1555923.8242104922,5511088.147772467,-4793.900415733362,-5507.543503391481,-730.9938102682671
138.0,2025-10-25T21:14:17.179696Z,-4457816.481900748,-1560770.9835486417,5510316.130515579,-4789.2900286022295,-5505.906880108786,-736.6840891494073
139.0,2025-10-25T21:14:18.179697Z,-4462806.239471424,-1565617.4235216468,5509544.113258691,-4784.679428300356,-5504.270958508818,-742.3743680305474
140.0,2025-10-25T21:14:19.179698Z,-4467796.72753663,-1570463.1440487346,5508772.096001802,-4780.0686149055655,-5502.635738613962,-748.0646469116876
141.0,2025-10-25T21:14:20.179699Z,-4472787.946017972,-1575308.145049142,5508000.078744913,-4775.45758849568,-5501.001220446594,-753.7549257928277
142.0,2025-10-25T21:14:21.179700Z,-4477779.894837046,-1580152.4264421116,5507228.061488026,-4770.846349148521,-5499.367404029083,-759.445204673968
143.0,2025-10-25T21:14:22.179701Z,-4482772.573915443,-1584995.9881468948,5506456.044231137,-4766.234896941915,-5497.734289383793,-765.1354835551081
144.0,2025-10-25T21:14:23.179702Z,-4487765.983174743,-1589838.8300827506,5505684.026974249,-4761.623231953692,-5496.101876533075,-770.8257624362483
145.0,2025-10-25T21:14:24.179703Z,-4492760.122536522,-1594680.9521689448,5504912.009717361,-4757.011354261682,-5494.470165499278,-776.5160413173884
