t_sec,epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
154.0,2025-10-20T15:50:05.476341Z,-438342.648983788,16553163.127652656,24532228.349366024,-4875.757261781155,-31.985990149819703,-61.11033594080195
155.0,2025-10-20T15:50:06.476342Z,-440803.9686187303,16553180.282754842,24532144.990012374,-4875.748459677735,-32.15234748092355,-61.48730637580759
156.0,2025-10-20T15:50:07.476343Z,-443265.28806311113,16553197.884843037,24532061.630658727,-4875.739707763129,-32.318706263056676,-61.86427681081322
157.0,2025-10-20T15:50:08.476344Z,-445726.6072648292,16553215.933917297,24531978.271305073,-4875.731006037503,-32.48506648978408,-62.241247245818855
158.0,2025-10-20T15:50:09.476345Z,-448187.9261717827,16553234.429977689,24531894.911951426,-4875.72235450102,-32.65142815467065,-62.6182176808245
159.0,2025-10-20T15:50:10.476346Z,-450649.2447318704,16553253.373024257,24531811.552597772,-4875.713753153844,-32.817791251281314,-62.99518811583013
160.0,2025-10-20T15:50:11.476347Z,-453110.5628929908,16553272.763057051,24531728.193244126,-4875.7052019961375,-32.98415577318096,-63.37215855083576
161.0,2025-10-20T15:50:12.476348Z,-455571.8806030426,16553292.600076115,24531644.833890475,-4875.696701028062,-33.1505217139345,-63.749128985841395
162.0,2025-10-20T15:50:13.476349Z,-458033.1978099241,16553312.88408148,24531561.474536825,-4875.688250249779,-33.31688906710678,-64.12609942084704
163.0,2025-10-20T15:50:14.476350Z,-460494.5144615338,16553333.615073174,24531478.115183175,-4875.679849661448,-33.483257826262644,-64.50306985585267
164.0,2025-10-20T15:50:15.476350Z,-462955.8305057706,16553354.793051224,24531394.755829524,-4875.671499263231,-33.64962798496694,-64.8800402908583
165.0,2025-10-20T15:50:16.476351Z,-465417.1458905324,16553376.418015657,24531311.396475874,-4875.663199055286,-33.81599953678446,-65.25701072586395
166.0,2025-10-20T15:50:17.476352Z,-467878.46056371834,16553398.489966484,24531228.037122227,-4875.654949037773,-33.98237247528007,-65.63398116086958
167.0,2025-10-20T15:50:18.476353Z,-470339.7744732265,16553421.008903708,24531144.677768573,-4875.646749210847,-34.148746794018486,-66.01095159587521
