sat_id,dst_ground_id,t_gen_s,t_arrive_s,data_age_s,n_hops,path
LEO_P5_S4,gs7,1735689630.0,1735689630.0228367,0.022836685180664062,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689630.0,1735689630.0019312,0.0019311904907226562,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689630.0,1735689630.0176582,0.017658233642578125,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689630.0,1735689630.0317328,0.031732797622680664,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689630.0,1735689630.012209,0.012208938598632812,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689630.0,1735689630.0296357,0.02963566780090332,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689631.0,1735689631.013173,0.013173103332519531,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689631.0,1735689631.0228448,0.022844791412353516,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689631.0,1735689631.0019386,0.0019385814666748047,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689631.0,1735689631.0176709,0.017670869827270508,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689631.0,1735689631.031743,0.03174304962158203,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689631.0,1735689631.012233,0.01223301887512207,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689631.0,1735689631.0296469,0.029646873474121094,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689632.0,1735689632.013185,0.01318502426147461,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689632.0,1735689632.022853,0.02285289764404297,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689632.0,1735689632.0019464,0.0019464492797851562,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689632.0,1735689632.0176837,0.017683744430541992,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689632.0,1735689632.0317533,0.0317533016204834,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689632.0,1735689632.0122576,0.012257575988769531,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689632.0,1735689632.029658,0.029658079147338867,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689633.0,1735689633.013197,0.013196945190429688,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689633.0,1735689633.0228612,0.022861242294311523,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689633.0,1735689633.0019546,0.0019545555114746094,1,LEO_P6_S2->gs2
