epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,ax_mps2,ay_mps2,az_mps2
2025-01-01T00:01:22.000000Z,3744159.837756696,1771419.1425994553,4953069.142803568,-2175.6004766349215,-2981.212751293555,1991.5384437269531,-5.650434739422053,-2.261759295419324,-6.900129944784567
2025-01-01T00:01:23.000000Z,3741981.412062543,1768436.7989680727,4955057.231183058,-2181.2502334208693,-2983.4728947068797,1984.636022001505,-5.649077964015305,-2.2585256028105505,-6.904716154327616
2025-01-01T00:01:24.000000Z,3739797.337289854,1765452.1968100416,4957038.414847571,-2186.898632562952,-2985.729802499176,1977.729011418298,-5.647718852967955,-2.255287703766953,-6.909307033056393
2025-01-01T00:01:25.000000Z,3737607.6147974175,1762465.3393630744,4959012.689205894,-2192.5456711268052,-2987.9834701144136,1970.817407935392,-5.646356124081649,-2.2520448527648114,-6.913901234045625
2025-01-01T00:01:26.000000Z,3735412.2459476,1759476.2298698127,4960980.049663442,-2198.1913448111154,-2990.2338922047056,1963.9012089502064,-5.644988319952972,-2.2487962073646486,-6.918497214559466
2025-01-01T00:01:27.000000Z,3733211.2321077953,1756484.871578665,4962940.491623795,-2203.835647766711,-2992.481062529143,1956.9804135062732,-5.643613783526234,-2.2455408142413944,-6.923093206714839
2025-01-01T00:01:28.000000Z,3731004.574652067,1753491.2677447544,4964894.010490455,-2209.478572378168,-2994.7249738331884,1950.055022536777,-5.64182660181541,-2.2420386409503408,-6.927272233646363
2025-01-01T00:01:29.000000Z,3728792.274963039,1750495.4216309986,4966840.601668868,-2215.119300970342,-2996.9651398110436,1943.1258690389805,-5.63937763904687,-2.2381430600653403,-6.930776621447876
2025-01-01T00:01:30.000000Z,3726574.3360501262,1747497.3374651324,4968780.262228533,-2220.7573276562616,-2999.201259953319,1936.1934692938812,-5.637007176526822,-2.234293003624771,-6.9343638978898525
2025-01-01T00:01:31.000000Z,3724350.7603077265,1744497.019111092,4970712.988607456,-2226.3933153233957,-3001.433725818293,1929.2571412432007,-5.6351337493397295,-2.2307359994738363,-6.938463950995356
2025-01-01T00:01:32.000000Z,3722121.549419479,1741494.4700134958,4972638.776511019,-2232.027595154941,-3003.6627319522668,1922.3165413918905,-5.633399918675423,-2.2272601554286666,-6.942710924660787
2025-01-01T00:01:33.000000Z,3719886.7051174166,1738489.6936471874,4974557.62169024,-2237.6601151607465,-3005.8882461291505,1915.3717193938792,-5.63161024870351,-2.223749949480407,-6.946903944015503
2025-01-01T00:01:34.000000Z,3717646.229189158,1735482.6935212377,4976469.519949807,-2243.290815652348,-3008.1102318512276,1908.4227335038595,-5.629756508162245,-2.2202008224558085,-6.951033795485273
2025-01-01T00:01:35.000000Z,3715400.123486112,1732473.473183485,4978374.4671572475,-2248.919628177071,-3010.328647774062,1901.4696518029089,-5.6278293246869,-2.2166075975983404,-6.955089948605746
2025-01-01T00:01:36.000000Z,3713148.389932804,1729462.036225689,4980272.459253413,-2254.546474301722,-3012.5434470464243,1894.512553606648,-5.62581801507622,-2.212964389647823,-6.959060360910371
2025-01-01T00:01:37.000000Z,3710891.030537509,1726448.386289392,4982163.492264461,-2260.171264207223,-3014.7545765533578,1887.551531081088,-5.6237103916937485,-2.209264503675513,-6.962931249989197
